Lake_Name,Year,Month,Target_NDCI,Air_Temp_C,Surface_Temp_C,Rainfall_mm,Solar_Radiation,Wind_Speed,Lagged_NDTI,Lagged_Air_Temp_C,Lagged_Surface_Temp_C,Lagged_Wind_Speed
Chembarambakkam,2025,12,0.018866758,23.79949507,24.11645631,155.4861293,,2.852600029,0.095923888,26.07980294,26.10466019,2.509725868
Chembarambakkam,2026,1,0.022275631,23.54599459,24.44169903,43.60868406,,2.603766739,0.118733395,23.79949507,24.11645631,2.852600029
Chembarambakkam,2026,2,0.040419174,24.71191241,25.28237864,4.682918221,,1.966853884,0.080504319,23.54599459,24.44169903,2.603766739
Chembarambakkam,2026,3,0.04531997,27.12063569,28.51446602,10.09003103,,1.791654278,0.148677482,24.71191241,25.28237864,1.966853884
Chembarambakkam,2026,4,0.070011314,30.0733628,28.85427184,8.270060152,,2.981491227,0.194593989,27.12063569,28.51446602,1.791654278
Chembarambakkam,2026,5,0.066264354,27.23544986,27.81616505,82.18299245,,1.290500699,0.130589588,30.0733628,28.85427184,2.981491227
Poondi_Reservoir,2024,2,0.051750933,25.93209457,27.74913265,2.241279259,,1.052381637,0.102586624,24.12893833,26.78204082,1.337321013
Poondi_Reservoir,2024,3,0.099633519,28.08503822,29.52061224,3.527711183,,1.58835412,0.153744415,25.93209457,27.74913265,1.052381637
Poondi_Reservoir,2024,4,0.102566995,31.06174255,32.04846939,4.041078851,,2.106279963,0.147003473,28.08503822,29.52061224,1.58835412
Poondi_Reservoir,2024,9,0.27311836,29.92852556,34.19183673,106.0278442,,1.266312857,0.102586624,28.92306382,32.29770408,1.680229316
Poondi_Reservoir,2024,10,0.291118165,27.41435655,29.00566327,324.4203424,,0.171978343,0.016802166,29.92852556,34.19183673,1.266312857
Poondi_Reservoir,2025,2,0.039490795,24.84775816,27.83122449,2.911704361,,0.677302996,0.102586624,23.44890105,25.26602041,1.905918756
Poondi_Reservoir,2025,3,0.047952733,27.68411629,29.2594898,11.62122339,,1.088974547,0.121664741,24.84775816,27.83122449,0.677302996
Poondi_Reservoir,2025,4,0.088765587,30.44294563,29.29265306,11.19110885,,1.519792453,0.194370911,27.68411629,29.2594898,1.088974547
Poondi_Reservoir,2025,5,0.091857199,30.77758753,30.14877551,63.61867583,,1.274155442,0.198785956,30.44294563,29.29265306,1.519792453
Poondi_Reservoir,2025,6,0.144727399,31.42110386,28.96428571,76.87464654,,2.408777727,0.14865583,30.77758753,30.14877551,1.274155442
Poondi_Reservoir,2025,7,0.118457681,30.84628198,27.75632653,59.13472533,,2.877845024,0.1992701,31.42110386,28.96428571,2.408777727
Poondi_Reservoir,2025,9,0.125613744,29.28511509,26.91744898,167.683908,,1.561815163,0.102586624,28.59978022,26.86142857,1.659910543
Poondi_Reservoir,2025,10,0.104059473,26.97016787,27.59729592,364.0477581,,0.29583956,0.178462008,29.28511509,26.91744898,1.561815163
Poondi_Reservoir,2025,11,0.175853598,25.6464262,26.07872449,143.8890493,,2.134585759,0.186171623,26.97016787,27.59729592,0.29583956
Poondi_Reservoir,2025,12,0.046291106,23.07795977,25.07260204,94.10808095,,2.386926675,0.175618336,25.6464262,26.07872449,2.134585759
Poondi_Reservoir,2026,1,0.023384838,23.06745534,24.79163265,38.47002447,,2.087542495,0.182816713,23.07795977,25.07260204,2.386926675
Poondi_Reservoir,2026,2,0.058791806,24.40041513,25.69479592,2.386869729,,1.611688566,0.251647339,23.06745534,24.79163265,2.087542495
Poondi_Reservoir,2026,3,0.048727757,27.22831483,28.60877551,13.45223629,,1.37656165,0.190817884,24.40041513,25.69479592,1.611688566
Poondi_Reservoir,2026,4,0.08282542,30.44002675,30.0727551,10.64850652,,2.336047552,0.195497449,27.22831483,28.60877551,1.37656165
Poondi_Reservoir,2026,5,0.102734484,27.23544986,29.23234694,82.18299245,,1.290500699,0.15983305,30.44002675,30.0727551,2.336047552
